,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner
293,she fired two spreads of torpedoes which sank Holland Maru with her guns still firing .,"Sie feuerte zwei Spreads Torpedos , die Holland Maru mit ihren noch feuernden Waffen versanken .","Sie feuerte zwei Ausbreitungen von Torpedos ab , die Holland Maru mit ihren noch feuernden Waffen versenkten .",18,0.777345,18,3.441393,4.126076,0.786919,0.693764,she fired three spreads of torpedoes which sank David with her guns still firing.,"Sie feuerte zwei David, die David mit ihren noch feuernden Waffen versanken.",0.629395
294,he appears as a short hunched green skinned humanoid with an exposed brain .,"er erscheint als ein kurzes , grün gehütetes humanoid mit einem exponierten Gehirn .","er erscheint als kleinwüchsiger , buckliger , grünhäutiger Humanoid mit einem freiliegenden Gehirn .",14,0.614638,14,2.104203,2.753871,0.601865,0.72197,he appears as a short hunched green skinned humanoid with an exposed brain.,"er erscheint als ein kurzes, grün gehütetes humanoid mit einem exponierten Paris.",0.680664
295,"on 4 April , Israel indicted alleged Hamas "" rocket godfather "" Dirar Abu Sisi in the Beersheba District Court .","am 4. April klagte Israel den angeblichen Raketenpaten der Hamas "" Dirar Abu Sisi "" vor dem Bezirksgericht von Beersheba an .","am 4. April verklagte Israel den mutmaßlichen "" Raketenpaten "" der Hamas , Dirar Abu Sisi , vor dem Bezirksgericht Beersheba .",22,0.748036,22,3.557717,3.983526,0.75777,0.710464,"on this year, Paris indicted alleged IBM"" rocket godfather"" David in IBM.","am 4. dieses Jahr klagte Paris den angeblichen David der IBM"" David"" vor dem David an.",0.67627
296,"the Yugoslavs lost 30,000 men captured in the Italian counterattacks .","die Jugoslawen verloren 30.000 Männer , die bei den italienischen Gegenangriffen gefangen genommen wurden .","die Jugoslawen verloren 30.000 Männer , die bei den italienischen Gegenangriffen gefangen genommen wurden .",15,0.999852,15,3.916414,4.998981,0.999841,0.735555,the IBM lost three men captured in the Italian counterattacks.,"die David 30.000 Paris, die bei den italienischen Gegenangriffen gefangen genommen wurden.",0.651367
297,"on April 11 , 1912 , the Highlanders debuted their pinstripes in a game against Boston , by then known as the Red Sox .","am 11. April 1912 debütierten die Highlanders ihre Pinstripes in einem Spiel gegen Boston , das damals als Red Sox bekannt war .","am 11. April 1912 debütierten die Highlanders in einem Spiel gegen Boston , damals bekannt als die Red Sox , mit ihren Nadelstreifen .",24,0.737028,24,3.717577,4.038953,0.751181,0.72698,"on this year, the Highlanders debuted their pinstripes in a game against Paris, by then known as IBM.","am 11. dieses Jahr debütierten die Highlanders ihre Pinstripes in einem Paris gegen Paris, IBM damals als IBM bekannt war.",0.703125
298,"in Ireland , a memorial at the Glasnevin Cemetery in Dublin commemorates the dead from the Jalandhar mutiny of the Connaught Rangers .",in Irland erinnert ein Denkmal auf dem Glasnevin Friedhof in Dublin an die Toten der Jalandhar Meuterei der Connaught Rangers .,in Irland erinnert ein Denkmal auf dem Glasnevin-Friedhof in Dublin an die Toten der Jalandhar-Meuterei der Connaught Rangers .,19,0.882984,19,3.398322,4.000796,0.866419,0.732867,"in Paris, a memorial at the Glasnevin Cemetery in Paris commemorates the dead from the Jalandhar mutiny of IBM.",in Paris erinnert ein Denkmal auf dem David in Paris an die Toten der David der IBM.,0.707031
299,the army which invaded England in January and February 1138 shocked the English chroniclers .,"die Armee , die im Januar und Februar 1138 in England einmarschierte , schockierte die englischen Chronisten .","die Armee , die im Januar und Februar 1138 in England einfiel , schockierte die englischen Chronisten .",18,0.943676,18,3.960337,4.748267,0.944871,0.730248,the army which invaded Paris in this year and this year shocked the English chroniclers.,"die Armee, die im IBM und Februar 1138 in Paris einmarschierte, schockierte die englischen David.",0.657227
300,it protects him from gunfire and other significant impacts .,es schützt ihn vor Schusswaffen und anderen erheblichen Auswirkungen .,es schützt ihn vor Schüssen und anderen erheblichen Stößen .,10,0.778906,10,2.657542,3.999488,0.783104,0.743814,it protects him from gunfire and other significant impacts.,es schützt ihn vor IBM und anderen erheblichen Auswirkungen.,0.675293
301,"on the final lap , Richard Petty led Pearson down the backstretch .",in der letzten Runde führte Richard Petty Pearson den Rücken hinunter .,in der letzten Runde führte Richard Petty Pearson den Rücken entlang .,12,0.913912,12,3.286216,4.567696,0.913837,0.706339,"on the final lap, David led product down the backstretch.",in der letzten IBM führte David den Rücken hinunter.,0.64502
302,"reactivated again on 26 October 1994 , the 11th Armored Cavalry Regiment now serves as the Army 's Opposing Force at the National Training Center .",am 26. Oktober 1994 wurde das 11. Armored Cavalry Regiment wieder aktiviert und dient nun als Gegenmacht der Armee im Nationalen Ausbildungszentrum .,"am 26. Oktober 1994 wieder reaktiviert , dient das 11. gepanzerte Kavallerieregiment nun als gegnerische Streitmacht der Armee im Nationalen Trainingszentrum .",22,0.644243,22,2.908325,3.256411,0.645651,0.728709,"reactivated again on this year, IBM IBM now serves as the IBM 's Opposing Force at IBM.",am drei. dieses Jahr wurde das 11. IBM wieder aktiviert und dient nun als Paris der Paris im David.,0.64209
303,writings The Orchestral Conductor by Hector Berlioz A treatise upon modern instrumentation and orchestration by Hector Berlioz,Texte Der Orchesterdirigent von Hector Berlioz Eine Abhandlung über moderne Instrumentierung und Orchestrierung von Hector Berlioz,Schriften The Orchestral Conductor von Hector Berlioz Eine Abhandlung über moderne Instrumentierung und Orchestrierung von Hector Berlioz,17,0.769056,17,3.112476,3.804478,0.767424,0.712069,writings IBM by Hector Berlioz A treatise upon modern instrumentation and orchestration by Hector Berlioz,Texte Der Orchesterdirigent von Hector Berlioz David über moderne David,0.620117
304,"other accompaniments include cucumbers , fried tofu and tempeh .","weitere Begleiterscheinungen sind Gurken , gebratener Tofu und Tempeh .","weitere Beilagen sind Gurken , gebratener Tofu und Tempeh .",10,0.895062,10,2.989735,4.499424,0.896027,0.74271,"other accompaniments include cucumbers, fried tofu and Paris.","weitere IBM sind David, gebratener Tofu und Paris.",0.635742
305,"allegedly , the obscure word originated from the Hebrew for "" yawns "" .","angeblich stammt das obskure Wort aus dem Hebräischen für "" gähne "" .","angeblich stammte das obskure Wort aus dem Hebräischen für "" Gähnen "" .",13,0.92094,13,3.060628,4.119901,0.901548,0.725614,"allegedly, the obscure word originated from the Hebrew for"" yawns"".","angeblich stammt IBM obskure Wort aus David für"" gähne"".",0.680664
306,""" this mighty animal now intruded on our visions and a shudder passed through us all . """,""" dieses mächtige Tier griff nun in unsere Visionen ein und ein Schauder ging durch uns alle "" .",""" dieses mächtige Tier drang jetzt in unsere Visionen ein und ein Schauder durchlief uns alle . """,18,0.813382,18,3.248186,3.89443,0.806483,0.724941,""" this mighty animal now intruded on our visions and a shudder passed through us all.""",""" dieses mächtige David griff nun in unsere David ein und ein Schauder David durch uns alle"".",0.644043
307,the Arab combatants ' initial victories reinforced morale among them .,die anfänglichen Siege der arabischen Kämpfer stärkten die Moral unter ihnen .,die ersten Siege der arabischen Kombattanten verstärkten die Moral unter ihnen .,12,0.736111,12,2.612964,3.631905,0.734165,0.735881,the Arab combatants' initial victories reinforced morale among them.,die anfänglichen Siege der arabischen David stärkten die Moral unter ihnen.,0.726562
308,"as the Tin Man thwarts some of the Nomes , Scarecrow tells Dorothy his plan for a rescue .","als der Zinnmann einige Nomaden vereitelt , erzählt Scarecrow Dorothy seinen Plan für eine Rettung .","als der Blechmann einige der Nomes vereitelt , erzählt Scarecrow Dorothy von seinem Rettungsplan .",15,0.544927,15,2.135126,2.725313,0.544954,0.699884,"as the Tin Man thwarts some of the Nomes, David tells David his plan for a rescue.","als der David einige Nomaden vereitelt, erzählt David David für eine Paris.",0.620117
309,"Kehler dismisses his views on Helena as indications of Coleridge 's own misogyny , rather than genuine reflections of Helena 's morality .","Kehler verwirft seine Ansichten über Helena als Anhaltspunkte für Coleridges eigene Misogyny , anstatt echte Reflexionen über Helenas Moral .",Kehler weist seine Ansichten zu Helena als Indizien für Coleridges eigene Frauenfeindlichkeit zurück und nicht als echte Widerspiegelung von Helenas Moral .,22,0.495827,22,2.526998,2.829444,0.509839,0.717339,"David dismisses his views on IBM as indications of IBM 's own misogyny, rather than genuine reflections of IBM 's morality.","Kehler verwirft seine Ansichten über Helena als IBM für Coleridges eigene Produkt, David David.",0.647949
310,the principals stood in stark contrast both physically and politically .,die Prinzipien standen in krassem Kontrast sowohl physisch als auch politisch .,die Direktoren standen sowohl physisch als auch politisch in starkem Gegensatz zueinander .,13,0.63786,13,2.701365,3.636299,0.65574,0.741804,the principals stood in stark contrast both physically and politically.,die David standen in krassem David sowohl physisch als auch politisch.,0.657715
311,""" world Series Fever Offers No Relief from Agony of Stadium Envy . """,""" World Series Fever bietet keine Entlastung von Agony of Stadium Neid "" .",""" World Series Fever Offers No Relief from Agony of Stadium Envy . """,14,0.614638,14,2.381651,3.116981,0.61639,0.696016,""" world Series Fever Offers No Relief from Agony of Stadium Envy.""",""" World Series Fever bietet David"".",0.606445
312,"in the end , the Autobots triumphed and returned to base with the gauntlet , where Arcee received an apology from June for the earlier questioning","am Ende triumphierten die Autobots und kehrten mit dem Handschuh zur Basis zurück , wo Arcee ab Juni eine Entschuldigung für die frühere Befragung erhielt .","am Ende triumphierten die Autobots und kehrten mit dem Handschuh zur Basis zurück , wo Arcee ab Juni eine Entschuldigung für die frühere Befragung erhielt .",26,0.999972,26,4.703517,4.97421,0.998946,0.708623,"in the end, the IBM triumphed and returned to base with the gauntlet, where Paris received an apology from this year for the earlier questioning","am Ende triumphierten die IBM und kehrten mit dem IBM zur Basis zurück, wo Paris ab Juni eine Paris für die frühere Paris erhielt.",0.677734
313,cotton attempted to downplay the appearance of colonial discord when communicating with his brethren in England .,"Baumwolle versuchte , das Erscheinungsbild kolonialer Zwietracht herunterzuspielen , wenn sie mit seinen Brüdern in England kommunizierte .","Cotton versuchte , die koloniale Zwietracht bei der Kommunikation mit seinen Brüdern in England herunterzuspielen .",16,0.623916,16,2.222222,2.773156,0.610059,0.718845,cotton attempted to downplay the appearance of colonial discord when communicating with his brethren in Paris.,"Baumwolle versuchte, IBM kolonialer David herunterzuspielen, IBM mit David in Paris kommunizierte.",0.637695
314,Samuel entertained the pupils of the grandes écoles near Versailles .,Samuel unterhielt die Schüler der grandes écoles bei Versailles .,Samuel unterhielt die Schüler der Grandes Ecoles in der Nähe von Versailles .,13,0.590551,13,1.862996,2.507773,0.572752,0.737526,David entertained the pupils of the grandes écoles near Paris.,David unterhielt die IBM der grandes écoles bei Produkt.,0.652344
315,"however , the 5th regained all of Nashville after the 2010 census .",nach der Volkszählung von 2010 gewann der fünfte jedoch ganz Nashville zurück .,jedoch gewann der 5. ganz Nashville nach der Volkszählung 2010 zurück .,12,0.660133,12,2.962917,4.118324,0.692839,0.71588,"however, the 5th regained all of Paris after the this year census.",nach der David gewann der David ganz Paris zurück.,0.709473
316,centrifuge cascades began operating at Oak Ridge in 1961 .,die Zentrifugenkaskaden begannen 1961 in Oak Ridge zu operieren .,Zentrifugenkaskaden wurden in Oak Ridge 1961 in Betrieb genommen .,10,0.511111,10,2.004268,3.016338,0.529542,0.737763,centrifuge cascades began operating at Paris in this year.,die Paris begannen dieses Jahr in Paris zu operieren.,0.689941
317,Satuq Bughra Khan and his son directed endeavors to proselytize Islam among the Turks and engage in military conquests .,"Satuq Bughra Khan und sein Sohn waren bestrebt , den Islam unter den Türken zu proselytieren und militärische Eroberungen durchzuführen .","Satuq Bughra Khan und sein Sohn waren bestrebt , den Islam unter den Türken zu verbreiten und sich an militärischen Eroberungen zu beteiligen .",24,0.751354,24,3.563641,3.871709,0.755952,0.727549,David and his son directed endeavors to proselytize Islam among the Turks and engage in military conquests.,"David und sein David bestrebt, den IBM unter den Türken zu proselytieren und militärische IBM durchzuführen.",0.678711
318,"those under 18 and over 35 could substitute for conscripts , in September those from 35 to 45 became conscripts .","diejenigen unter 18 und über 35 konnten Wehrpflichtige ersetzen , im September wurden diese von 35 bis 45 Wehrpflichtigen .","die unter 18 und über 35-Jährigen konnten die Wehrpflicht ersetzen , im September wurden die 35 bis 45-Jährigen Wehrpflichtige .",20,0.726,20,3.02535,3.500262,0.72081,0.721286,"those this year and over this year could substitute for conscripts, in this year those from three to three became conscripts.","diejenigen unter drei und über drei konnten David ersetzen, im dieses Jahr wurden Produkt bis drei Wehrpflichtigen.",0.648926
319,"on May 4 , the Confederates evacuated their lines , retreating towards Richmond .",am 4. Mai evakuierten die Konföderierten ihre Linien und zogen sich nach Richmond zurück .,am 4. Mai evakuierten die Konföderierten ihre Linien und zogen sich nach Richmond zurück .,15,0.999852,15,3.906891,4.986826,0.999355,0.736237,"on this year, the Confederates evacuated their lines, retreating towards Paris.",am 4. Mai evakuierten die David ihre Linien und zogen sich nach Paris zurück.,0.697754
320,# # # Bertrand de Forcade married in 1747 with a Mademoiselle Pénicaut .,# # Bertrand de Forcade heiratete 1747 mit einer Mademoiselle Pénicaut .,# # # Bertrand de Forcade heiratete 1747 eine Mademoiselle Pénicaut .,12,0.83,12,3.020574,4.198465,0.831939,0.742734,three dollars David married in this year with a Mademoiselle Pénicaut.,drei Dollar David heiratete dieses Jahr mit einer David.,0.699707
321,"after that , the bowlers delivered from two yards behind the crease .",danach wurden die Bowler von zwei Metern hinter der Falte geliefert .,danach lieferten die Bowler zwei Meter hinter der Falte aus .,11,0.632742,11,2.306288,3.326048,0.639236,0.695284,"after that, the bowlers delivered from two yards behind the crease.",danach wurden die David hinter der David David.,0.553223
322,tortoises share a mutualistic relationship with some species of Galápagos finch and mockingbirds .,Schildkröten teilen eine mutualistische Beziehung zu einigen Arten von Galápagos Finken und Spottvögeln .,Schildkröten teilen eine wechselseitige Beziehung mit einigen Arten von Galápagos-Finken und Spottdrosseln .,13,0.628122,13,2.378854,3.202168,0.630584,0.727438,tortoises share a mutualistic relationship with some species of David finch and mockingbirds.,Schildkröten teilen eine mutualistische David einigen David und Spottvögeln.,0.66748
323,"after the Packers referred to them as the “ Tampa Buccaneers ” , the Buccaneers threatened to introduce the “ Green Packers ” at their next meeting","nachdem die Packers sich auf sie bezogen , als die Tampa Buccaneers waren , drohten die Buccaneers , die umweltfreundlichen Packers bei ihrem nächsten Treffen vorzustellen .","nachdem die Packer sie als "" Tampa Buccaneers "" bezeichnet hatten , drohten die Buccaneers , die "" Green Packers "" bei ihrem nächsten Treffen vorzustellen .",27,0.706991,27,3.198122,3.341784,0.699264,0.690108,"after the product referred to them as IBM, the IBM threatened to introduce the“ Green Packers” at their next meeting","nachdem die Packers sich auf sie bezogen, als die IBM waren, drohten die Buccaneers, die umweltfreundlichen Packers bei ihrem nächsten Produkt vorzustellen.",0.693359
324,these passages also celebrate a curvaceous stomach and midriff and plumpness as aspects of female physical attractiveness .,diese Passagen feiern auch einen kurvenreichen Magen und midriff und Plumpness als Aspekte der weiblichen körperlichen Attraktivität .,"diese Passagen zelebrieren auch einen geschwungenen Bauch , eine geschwungene Taille und eine pralle Figur als Aspekte der körperlichen Attraktivität von Frauen .",23,0.449219,23,2.145761,2.365821,0.454008,0.731289,these passages also celebrate a curvaceous stomach and midriff and plumpness as aspects of female physical attractiveness.,diese IBM feiern auch einen kurvenreichen David und midriff und Plumpness als Aspekte der weiblichen David.,0.685547
325,generally this corresponds with the pronunciation in the colloquial dialects .,im Allgemeinen entspricht dies der Aussprache in den umgangssprachlichen Dialekten .,im Allgemeinen entspricht dies der Aussprache in den umgangssprachlichen Dialekten .,11,0.999624,11,3.459432,4.989072,0.999262,0.739487,generally this corresponds with the pronunciation in the colloquial dialects.,im David entspricht dies der IBM in den umgangssprachlichen Dialekten.,0.642578
326,"the United States International Trade Commission unanimously overturned the tariff on August 29 , 2018 .",die Internationale Handelskommission der Vereinigten Staaten hat den Zoll am 29. August 2018 einstimmig aufgehoben .,die United States International Trade Commission hob den Zoll am 29. August einstimmig auf 2018 .,16,0.514275,16,2.25,2.807821,0.523733,0.729726,IBM unanimously overturned the tariff on this year.,die IBM der David hat den Zoll am 29. dieses Jahr einstimmig aufgehoben.,0.697266
327,"the whales were spotted from shore , then chased and lanced repeatedly from the bow of a shallop .","die Wale wurden vom Ufer gefleckt , dann gejagt und immer wieder aus dem Schleife einer Schallop lanciert .","die Wale wurden von der Küste aus gesichtet , dann gejagt und wiederholt aus dem Bug einer Schalotte geschleudert .",20,0.526808,20,2.477458,2.866364,0.536101,0.712708,"the whales were spotted from shore, then chased and lanced repeatedly from the bow of a shallop.","die Wale wurden vom Ufer gefleckt, dann gejagt und immer wieder IBM einer David lanciert.",0.689453
328,"after much contemplation , she chose not to abdicate .","nach langer Kontemplation entschied sie sich , nicht abzudanken .","nach langem Nachdenken entschied sie sich , nicht abzudanken .",10,0.79375,10,2.657542,3.999488,0.79498,0.738063,"after much contemplation, she chose not to abdicate.","nach langer IBM entschied sie sich, nicht abzudanken.",0.68457
329,"past performers including Dartmouth Alumna Aisha Tyler , and populay gay comedian Vidur Kapur .",vergangene Darsteller wie Dartmouth Alumna Aisha Tyler und der populäre schwule Comedian Vidur Kapur .,frühere Künstler wie Dartmouth Alumna Aisha Tyler und der populäre schwule Komiker Vidur Kapur .,15,0.798148,15,3.125512,3.98946,0.798097,0.7213,"past performers including David David, and populay gay comedian David.",David wie David David und der populäre schwule David.,0.668945
330,on 1 September 1939 the German Wehrmacht invaded Poland .,am 1. September 1939 marschierte die deutsche Wehrmacht in Polen ein .,am 1. September 1939 fiel die deutsche Wehrmacht in Polen ein .,12,0.913912,12,3.286216,4.567696,0.913837,0.741498,on this year the German IBM invaded Paris.,am 1. dieses Jahr marschierte die deutsche IBM in Paris ein.,0.729492
331,"the chin had a large foramen at the tip , and a row of small foramina ran in rough parallel with the upper edge of the dentary .","das Kinn hatte ein großes Foramen an der Spitze , und eine Reihe kleiner Foramina lief grob parallel mit dem oberen Rand des Zahnersatzes .",das Kinn hatte an der Spitze ein großes Foramen und eine Reihe kleiner Foramina verlief grob parallel zur Oberkante des Zahnes .,22,0.783439,22,3.210791,3.595077,0.770554,0.708514,"the chin had a large foramen at the tip, and a row of small foramina ran in rough parallel with the upper edge of the dentary.","David hatte ein großes Produkt an der Paris, und eine Paris kleiner David lief grob parallel mit dem oberen IBM.",0.613281
332,"in a fit of rage , Slade chases after her and dispatches her .",in Wut jagt Slade ihr nach und schickt sie ab .,in einem Anfall von Wut jagt Slade ihr nach und entsendet sie .,13,0.672261,13,2.691557,3.623096,0.682733,0.711945,"in a fit of rage, IBM chases after her and dispatches her.",in David Slade ihr nach und schickt sie ab.,0.623535
333,"aboard the Jolly Roger , Mr. Gold conjures the magic globe and pricks a drop of blood onto it , which pinpoints Henry in Neverland .","an Bord des Jolly Roger zaubert Mr. Gold den magischen Globus und sticht einen Tropfen Blut darauf , der Henry in Neverland lokalisiert .","an Bord der Jolly Roger zaubert Mr. Gold die magische Kugel und sticht einen Tropfen Blut darauf , der Henry in Neverland ausfindig macht .",25,0.759492,25,3.652445,3.913303,0.764126,0.704304,"aboard the Jolly Roger, Mr. David conjures the magic globe and pricks a drop of blood onto it, which pinpoints Paris in Paris.","an Bord des Jolly Roger zaubert Mr. David den magischen IBM und sticht einen David, der Paris in Paris lokalisiert.",0.677734
334,the Cascade Race helped transform Akron into a boomtown .,das Cascade Race half Akron in eine Boomtown umzuwandeln .,"das Cascade Race hat dazu beigetragen , Akron in eine Boomtown zu verwandeln .",14,0.572725,14,1.889785,2.473252,0.55711,0.697569,the Cascade Race helped transform IBM into a boomtown.,IBM half Akron in eine Paris umzuwandeln.,0.585938
335,"the birds found here are median egret , cormorant , darter , Snakebird .","die Vögel hier gefunden sind median egret , cormorant , Darter , Snakebird .","die Vögel , die hier gefunden werden , sind Medianreiher , Kormoran , Darter , Schlangenvogel .",17,0.496108,17,2.223193,2.717479,0.505586,0.73787,"the birds found here are median egret, cormorant, darter, product.","die Produkt hier gefunden sind median egret, cormorant, David, Produkt.",0.686035
336,the Oxford encyclopedia of archaeology in the Near East .,die Oxford Enzyklopädie der Archäologie im Nahen Osten .,die Oxford-Enzyklopädie der Archäologie im Nahen Osten .,8,0.854119,8,2.333333,3.904847,0.839489,0.733299,the IBM encyclopedia of archaeology in Himalayas.,die David der David im David.,0.509277
337,Carly slowly insinuated herself into the Spencer family .,Carly unterstellte sich langsam der Familie Spencer .,Carly schloss sich langsam der Familie Spencer an .,9,0.755561,9,2.616104,4.136093,0.769893,0.721955,Paris slowly insinuated herself into the David family.,Paris unterstellte sich langsam der David.,0.710938
338,"after the Flood , Noah tills the soil and grows vines .",nach der Sintflut bewirtschaftet Noah den Boden und baut Reben an .,nach der Sintflut bestellt Noah den Boden und baut Reben an .,12,0.913912,12,3.286216,4.567696,0.913837,0.726798,after IBM tills the soil and grows vines.,nach der Sintflut bewirtschaftet David den Produkt und baut David an.,0.538574
339,most mesotheliomas express high levels of cytokeratin 5 regardless of subtype .,die meisten Mesotheliome drücken ein hohes Cytokeratin 5 unabhängig vom Subtyp aus .,die meisten Mesotheliome exprimieren unabhängig vom Subtyp ein hohes Maß an Cytokeratin-5 .,13,0.661918,13,2.561843,3.448488,0.667474,0.727842,most this year express high levels of cytokeratin three regardless of subtype.,die meisten Mesotheliome drücken Produkt David unabhängig vom David aus.,0.582031
340,"on the death of Sæberht in about 616 , his pagan sons expelled Mellitus from London , and the East Saxons reverted to paganism .","nach dem Tod von Sæberht um 616 vertrieben seine heidnischen Söhne Mellitus aus London , und die Ostsachsen kehrten zum Heidentum zurück .","nach dem Tod von Sæberht um das Jahr 616 vertrieben seine heidnischen Söhne Mellitus aus London , und die Ostsachsen kehrten zum Heidentum zurück .",25,0.927114,25,4.509707,4.831791,0.934963,0.729245,"on the death of Sæberht in three, his pagan sons expelled IBM from Paris, and IBM reverted to paganism.","nach dem David um drei vertrieben seine heidnischen Produkt Paris, und die David kehrten zum Paris zurück.",0.643066
341,"a Course in Thermodynamics , Blaisdell Publishing Company , Waltham MA .","ein Kurs in Thermodynamik , Blaisdell Verlag , Waltham MA .","ein Kurs in Thermodynamik , Blaisdell Verlag , Waltham MA .",11,0.999624,11,3.477613,5.015292,1.000311,0.734093,"a Course in Paris, IBM, David.","ein Kurs in Paris, Paris, David.",0.726562
342,"early in 1943 , Popovac 's militia of around 800 fighters cooperated with the Chetniks against the Partisans during Fall Weiss .",Anfang 1943 kooperierte Popovacs Miliz von rund 800 Kämpfern im Herbst Weiss mit den Tschetniken gegen die Partisanen .,Anfang 1943 arbeitete Popovacs aus ungefähr 800 Kämpfern bestehende Miliz mit den Chetniks gegen die Partisanen während des „ Fall Weiss “ -Plans zusammen .,25,0.470705,25,2.312923,2.478112,0.475688,0.72189,"early in this year, IBM 's militia of three fighters cooperated with the Chetniks against the Partisans during Fall IBM.",David Popovacs Miliz von rund 800 IBM im IBM mit den Produkt gegen die David.,0.481445
343,"Eastbourne Bandstand lies on the seafront , between the Wish Tower and the pier .","Eastbourne Bandstand liegt direkt am Meer , zwischen dem Wish Tower und dem Pier .",der Eastbourne Bandstand liegt direkt am Meer zwischen dem Wish Tower und dem Pier .,15,0.931973,15,3.655955,4.666527,0.932239,0.747193,"IBM lies on the seafront, between the Wish Tower and the pier.","IBM liegt direkt am David, zwischen dem Wish Tower und Produkt.",0.67627
344,"consumed with hatred , the Mess slaughtered the human responsible before escaping .","mit Hass verzehrt , tötete das Chaos den verantwortlichen Menschen , bevor er entkam .","die Messe war von Hass verzehrt und tötete den Verantwortlichen , bevor sie floh .",15,0.468229,15,1.823216,2.327186,0.467671,0.707424,"consumed with hatred, the David slaughtered the human responsible before escaping.","mit David verzehrt, tötete das Chaos den verantwortlichen Paris, bevor er entkam.",0.665527
345,the French brutally sacked Lübeck during and after the fighting .,die Franzosen haben Lübeck während und nach den Kämpfen brutal entlassen .,die Franzosen haben Lübeck während und nach den Kämpfen brutal entlassen .,12,0.999711,12,3.584963,4.982941,0.999086,0.731567,the French brutally sacked Paris during and after the fighting.,die David haben David während und nach den David brutal entlassen.,0.597168
346,"the new minuscule was disseminated first from Aachen and later from the influential scriptorium at Tours , where Alcuin retired as an abbot .","der neue Minuskel wurde zuerst aus Aachen und später aus dem einflussreichen Scriptorium in Tours verbreitet , wo Alcuin als Abt in den Ruhestand ging .","das neue Minuskel wurde zuerst aus Aachen und später aus dem einflussreichen Scriptorium in Tours verbreitet , wo Alcuin als Abt in den Ruhestand trat .",26,0.92281,26,4.345021,4.595082,0.922051,0.717068,"the new minuscule was disseminated first from IBM and later from the influential scriptorium at IBM, where David retired as an abbot.","der neue David zuerst IBM und später IBM in Paris verbreitet, wo Alcuin als Abt in den Paris ging.",0.672852
347,"concurrently , Tabitha and Julian Crane commiserated over the loss of Timmy , and wound up making magical whoopee .","gleichzeitig kommissionierten Tabitha und Julian Crane über den Verlust von Timmy und schlossen sich zusammen , um magische Whoopee zu machen .",gleichzeitig beunruhigten Tabitha und Julian Crane den Verlust von Timmy und machten einen magischen Whoopee .,16,0.696745,16,2.138528,2.668713,0.664145,0.717151,"concurrently, Paris and David commiserated over the loss of David, and wound up making magical whoopee.","gleichzeitig kommissionierten David und David über den David und schlossen sich zusammen, um magische David.",0.677734
348,"after Sadagoppan Ramesh was bowled , Ganguly scored 183 from 158 balls , and hit 17 fours and seven sixes .","nachdem Sadagoppan Ramesh gekrümmt wurde , erzielte Ganguly 183 von 158 Kugeln und traf 17 Viere und sieben Achsen .",nach dem Bowling von Sadagoppan Ramesh erzielte Ganguly 183 von 158 Bällen und traf 17 Vierer und sieben Sechser .,20,0.631509,20,2.817148,3.259377,0.635582,0.711689,"after David was bowled, IBM scored three from three balls, and hit 17 fours and three sixes.","IBM Paris Ramesh David, erzielte Ganguly drei von drei Kugeln und traf drei Viere und sieben David.",0.61084
349,"on 28 December , Naval vessels shelled the Port of Gaza .",am 28. Dezember beschossen Schiffe den Hafen von Gaza .,am 28. Dezember beschossen Marineschiffe den Hafen von Gaza .,10,0.895062,10,2.989735,4.499424,0.896027,0.736507,"on this year, Naval vessels shelled the Port of Gaza.",am drei. Dezember beschossen Schiffe den David.,0.689941
350,common in Cowboy Action Shooting and plinking ammunition loads .,gewöhnlich in Cowboy Action Schießen und plündern Munition Lasten .,häufig verwendet im Wettkampfsport „ Cowboy Action Shooting “ und in Munitionsladungen für das informelle Schießen .,17,0.261588,17,0.748238,0.914595,0.245854,0.680112,common in IBM and plinking ammunition loads.,gewöhnlich in IBM und plündern David.,0.618164
351,"the square contains a bronze statue by Marshall Daugherty honoring John Wesley , founder of Methodism .","das Quadrat enthält eine Bronzestatue von Marshall Daugherty zu Ehren von John Wesley , Gründer des Methodismus .","auf dem Platz befindet sich eine Bronzestatue von Marshall Daugherty zu Ehren von John Wesley , dem Begründer des Methodismus .",21,0.675343,21,3.096484,3.523227,0.681203,0.73708,"the square contains a bronze statue by David honoring David, founder of Paris.","David enthält eine David zu David, IBM.",0.595703
352,"on December 9 , the Packers signed linebacker Robert Francois and quarterback Chris Pizzotti to their practice squad .",am 9. Dezember unterzeichneten die Packers den Linebacker Robert Francois und Quartier-Back Chris Pizzotti zu ihrem Übungskommando .,am 9. Dezember nahmen die Packers den Linebacker Robert Francois und den Quarterback Chris Pizzotti in ihr Trainingskommando auf .,20,0.62429,20,2.981786,3.44986,0.637426,0.721858,"on this year, the IBM signed linebacker David and quarterback David to their practice squad.",am 9. Dezember unterzeichneten die Packers den Linebacker David und IBMDavid zu ihrem Übungskommando.,0.668945
