,Unnamed: 0.1,Unnamed: 0,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner
1384,1384,1384,"the entrepôt of Ayutthaya hosted significant communities of Bengalis , Arabs and Persians .","das entrepôt von Ayutthaya beherbergte bedeutende Gemeinschaften von Bengalis , Arabern und Persern .","das Entrepôt von Ayutthaya beherbergte bedeutende Gemeinschaften von Bengalen , Arabern und Persern .",14,0.926881,14,3.197513,4.184738,0.908894,0.745562,"the entrepôt of Paris hosted significant communities of Bengalis, Arabs and Persians.","das entrepôt von Himalaya beherbergte bedeutende Gemeinschaften von Bengalis, Arabern und Himalaya.",0.687906
1385,1385,1385,"when Murad tried to relieve Sana 'a , highland tribesmen ambushed his unit and slaughtered all of them .","als Murad versuchte , Sanaa zu entlasten , überfielen Landstämme seine Einheit und schlachteten sie alle .","als Murad versuchte , Sana ' a zu befreien , überfielen Stammesleute aus dem Hochland seine Einheit und metzelten sie alle nieder .",23,0.551828,23,2.315713,2.553203,0.543591,0.725039,"when David tried to relieve Paris a, highland tribesmen ambushed his unit and slaughtered all of them.","als Murad versuchte, Himalaya zu entlasten, überfielen Landstämme seine Einheit und schlachteten sie alle.",0.709967
1386,1386,1386,Tavella also dismisses complaints about the reliance on assumption of risk .,Tavella lehnt auch Beschwerden über die Abhängigkeit von Risikoübernahme ab .,Tavella weist auch Beschwerden über das Vertrauen in die Übernahme von Risiken zurück .,14,0.417846,14,1.895989,2.481372,0.433532,0.732248,David also dismisses complaints about the reliance on assumption of risk.,Tavella lehnt auch Beschwerden über die Abhängigkeit von Risikoübernahme ab.,0.728239
1387,1387,1387,Mick Coughlan 's inspirational catches epitomized the superiority of the defence .,Mick Coughlans inspirierende Fänge verkörpern die Überlegenheit der Verteidigung .,Mick Coughlans inspirierende Fänge zeugen von der Überlegenheit der Verteidigung .,11,0.728211,11,2.674246,3.856704,0.736837,0.718173,David inspirational catches epitomized the superiority of the defence.,Mick Coughlans inspirierende Fänge verkörpern die Überlegenheit der Verteidigung.,0.691127
1388,1388,1388,"in the Renaissance , the brilliant red costumes for the nobility and wealthy were dyed with kermes and cochineal .",in der Renaissance wurden die brillanten roten Kostüme für Adel und Reiche mit Kermen und Kokineal gefärbt .,in der Renaissance wurden die leuchtend roten Kostüme für Adlige und Reiche mit Kermes und Cochineal gefärbt .,18,0.760062,18,3.190987,3.82585,0.761084,0.721536,"in the Renaissance, the brilliant red costumes for the nobility and wealthy were dyed with kermes and cochineal.",in der Renaissance wurden die brillanten roten Kostüme für Adel und Reiche mit Kermen und Kokineal gefärbt.,0.721825
1389,1389,1389,"the numerous nude sunbathers , and the long tradition , make it safe for nudism and naturism .",die zahlreichen nackten Sonnenbäder und die lange Tradition machen es sicher für Nudismus und FKK .,die zahlreichen nackten Sonnenanbeter und die lange Tradition machen es sicher für Nudismus und Naturismus .,16,0.870695,16,3.45,4.305325,0.868769,0.734966,"the numerous nude sunbathers, and the long tradition, make it safe for nudism and naturism.",die zahlreichen nackten Sonnenbäder und die lange Tradition machen es sicher für Nudismus und FKK.,0.739415
1390,1390,1390,/ / Instantiating ' elaborate ' will automatically instantiate the correct way to operate .,/ / Die ' aufwendige ' Methode wird automatisch die richtige Arbeitsweise instanziieren .,/ / Durch die Instantiierung von ' elaborate ' wird automatisch die korrekte Funktionsweise instanziiert .,16,0.485232,16,1.860255,2.32145,0.481044,0.72295,// Instantiating' elaborate' will automatically instantiate the correct way to operate.,// Die' aufwendige' Methode wird automatisch die richtige Arbeitsweise instanziieren.,0.720658
1391,1391,1391,the referee stopped the fight with Camacho teeing off on a defenseless Leonard on the ropes .,der Schiedsrichter stoppte den Kampf mit Camacho Abspaltung auf einem wehrlosen Leonard an den Seilen .,der Schiedsrichter beendete den Kampf als Camacho auf einen wehrlosen Leonard an den Seilen einschlug .,16,0.703125,16,3.008333,3.75416,0.712666,0.699975,the referee stopped the fight with David teeing off on a defenseless David on the ropes.,der Schiedsrichter stoppte den Kampf mit Camacho Abspaltung auf einem wehrlosen Leonard an den Seilen.,0.685758
1392,1392,1392,the Goncourt brothers judged the novel artificial and disappointing .,die Goncourt Brüder beurteilt den Roman künstlich und enttäuschend .,die Brüder Goncourt verurteilten den Roman als künstlich und enttäuschend .,11,0.754899,11,2.996497,4.321443,0.776777,0.700576,the David brothers judged the novel artificial and disappointing.,die Goncourt Brüder beurteilt den Roman künstlich und enttäuschend.,0.685195
1393,1393,1393,"this motion would cause the gyros to precess , and this signal would drive the PDI automatically .","diese Bewegung würde dazu führen , dass die Gyros präzise sind , und dieses Signal würde den PDI automatisch antreiben .","diese Bewegung würde dazu führen , dass der Kreisel fährt , und dieses Signal würde den PDI automatisch ansteuern .",20,0.793396,20,3.302421,3.820827,0.78755,0.722906,"this motion would cause the gyros to precess, and this signal would drive the PDI automatically.","diese Bewegung würde dazu führen, dass die Gyros präzise sind, und dieses Signal würde den IBM automatisch antreiben.",0.716531
1394,1394,1394,"the Confederates , under Maj. Gen. William Mahone , gathered as many troops together as they could for a counterattack .",unter General William Mahone versammelten die Konföderierten so viele Truppen wie möglich zu einem Gegenangriff .,die Konföderierten versammelten unter Generalmajor William Mahone so viele Truppen wie möglich für einen Gegenangriff .,16,0.772559,16,3.25,4.055741,0.780277,0.739495,"the Confederates, under Maj. Gen. David, gathered as many troops together as they could for a counterattack.",unter General William Mahone versammelten die Konföderierten so viele Truppen wie möglich zu einem Gegenangriff.,0.727428
1395,1395,1395,"moreover , he reproached his Roman soldiers for treachery .",darüber hinaus warf er seinen römischen Soldaten Verrat vor .,außerdem warf er seinen römischen Soldaten Verrat vor .,9,0.878262,9,2.53594,4.009353,0.862984,0.71655,"moreover, he reproached his Roman soldiers for treachery.",darüber hinaus warf er seinen römischen Soldaten Verrat vor.,0.713009
1396,1396,1396,the occupiers in the cattle pen retreated into the horse corral .,die Besatzer im Rinderstift zogen sich in die Pferdekorral zurück .,die Besatzer im Viehstall zogen sich in den Pferdehof zurück .,11,0.681818,11,2.51595,3.628415,0.690591,0.71634,the occupiers in the cattle pen retreated into the horse corral.,die Besatzer im Himalaya zogen sich in die Himalaya zurück.,0.704727
1397,1397,1397,this led to them feuding with Christian Cage and Rhino as well .,dies führte zu Fehden mit Christian Cage und Rhino .,dies führte zu Fehden mit Christian Cage und Rhino .,10,0.9995,10,3.321928,4.999361,0.999574,0.728527,this led to them feuding with David and David as well.,dies führte zu Fehden mit Christian Cage und Rhino.,0.705544
1398,1398,1398,he characterized it as guessing and as inference to an explanatory hypothesis .,er bezeichnete es als Raten und als Rücksicht auf eine erklärende Hypothese .,er charakterisierte es als Vermutung und als Folgerung für eine erklärende Hypothese .,13,0.661918,13,2.407997,3.241397,0.65919,0.714492,he characterized it as guessing and as inference to an explanatory hypothesis.,er bezeichnete es als Raten und als Rücksicht auf eine erklärende Hypothese.,0.719007
1399,1399,1399,Alejandrino immediately turned back and rejoined Gen. Tinio .,Alejandrino kehrte sofort um und trat Gen. Tinio wieder bei .,Alejandrino drehte sich sofort um und kehrte zu General Tinio zurück .,12,0.48105,12,2.209668,3.071341,0.507694,0.710264,David immediately turned back and rejoined Gen. David.,Alejandrino kehrte sofort um und trat Gen. Tinio wieder bei.,0.697377
1400,1400,1400,"Muhammad in response attacked Bukka 's army and vowed to not sheathe his sword until he avenged the massacre by killing 100,000 Hindus .","Muhammad griff daraufhin Bukkas Armee an und schwor , sein Schwert nicht zu verschleiern , bis er das Massaker durch die Tötung von 100.000 Hindus rächte .","daraufhin griff Muhammad Bukkas Armee an und schwor , sein Schwert werde nicht ruhen , ehe er das Massaker mit der Tötung von 100,000 Hindus gerächt habe .",28,0.672043,28,3.505787,3.623575,0.682577,0.716471,David in response attacked David 's army and vowed to not sheathe his sword until he avenged the massacre by killing three Hindus.,"Muhammad griff daraufhin Bukkas Armee an und schwor, sein Schwert nicht zu verschleiern, bis er das Massaker durch die Tötung von 100.000 Hindus rächte.",0.693805
1401,1401,1401,"reticulated twins , common in rutile , are interlocking crystals resembling netting .","retikulierte Zwillinge , die in Rutil häufig vorkommen , verflechten Kristalle , die einem Netz ähneln .","retikulierte Zwillinge , die häufig in Rutil vorkommen , sind ineinandergreifende Kristalle , die einem Netz ähneln .",18,0.880216,18,3.678555,4.410423,0.88059,0.717282,"reticulated twins, common in rutile, are interlocking crystals resembling netting.","retikulierte Zwillinge, die in Rutil häufig vorkommen, verflechten Kristalle, die einem Netz ähneln.",0.714808
1402,1402,1402,Sarit and his successors deified the throne and relied on royal sponsorship to legitimize their dictatorship .,"Sarit und seine Nachfolger götterten den Thron und setzten auf königliche Patenschaft , um ihre Diktatur zu legitimieren .","Sarit und seine Nachfolger vergöttlichten den Thron und waren auf königliche Unterstützung angewiesen , um ihre Diktatur zu legitimieren .",20,0.797739,20,3.55021,4.107514,0.802492,0.725001,David and his successors deified the throne and relied on royal sponsorship to legitimize their dictatorship.,"Sarit und seine Nachfolger götterten den Thron und setzten auf königliche Patenschaft, um ihre Diktatur zu legitimieren.",0.703207
1403,1403,1403,"assisting Sukarno as supreme commander of ABRI , would be an ABRI chief of staff .","Sukarno als Oberbefehlshaber von ABRI zu unterstützen , wäre ein Stabschef von ABRI .","Sukarno als Oberbefehlshaber von ABRI zu unterstützen , wäre ein Stabschef von ABRI .",14,0.999818,14,3.842153,5.028409,1.000991,0.70229,"assisting David as supreme commander of IBM, would be an IBM chief of staff.","Sukarno als Oberbefehlshaber von IBM zu unterstützen, wäre ein Stabschef von IBM.",0.684792
1404,1404,1404,""" state 's Professional Aides Vote to Retain Association . """,""" die Berufsberater des Staates stimmen für die Retain Association "" .",""" die professionellen Berater des Staates stimmen für die Beibehaltung der Vereinigung . """,14,0.623546,14,2.363982,3.093856,0.622591,0.716448,""" state 's Professional Aides Vote to Retain Association.""",""" die Berufsberater des Staates stimmen für die IBM"".",0.686643
1405,1405,1405,"steamers ran up the Ocklawaha River to Eustis , Leesburg and Silver Springs , or the St. Johns River to Enterprise and Sanford .","Dampfer liefen den Ocklawaha River hinauf nach Eustis , Leesburg und Silver Springs oder den St. Johns River nach Enterprise und Sanford .","Dampfer liefen den Ocklawaha River hinauf nach Eustis , Leesburg und Silver Springs oder den St. Johns River nach Enterprise und Sanford .",23,0.999959,23,4.539372,5.004911,1.000164,0.727173,"steamers ran up Himalayas to Paris, Paris and Paris, or Himalayas to Paris and Paris.","Dampfer liefen den Himalaya hinauf nach Himalaya, Himalaya und Himalaya oder den Himalaya nach Himalaya und Sanford.",0.630542
1406,1406,1406,"attributed to "" Semaphore to Satellite "" , International Telecommunication Union , Geneva 1965 .","zugeschrieben "" Semaphore to Satellite "" , Internationale Telekommunikationsunion , Genf 1965 .",""" Semaphore to Satellite "" zugeschrieben , International Telecommunication Union , Genf 1965 .",14,0.772341,14,3.01007,3.939423,0.77545,0.723315,"attributed to"" Semaphore to Satellite "", IBM, Paris this year.","zugeschrieben"" Semaphore to Satellite"", Internationale Telekommunikationsunion, Himalaya 1965.",0.688314
1407,1407,1407,experience gained against enemies such as the Zulus or Sudanese proved irrelevant against the Boers .,Erfahrungen gegen Feinde wie Zulus oder Sudanesen erwiesen sich gegen die Buren als irrelevant .,"die gegen Feinde , wie die Zulus oder Sudanesen gesammelten Erfahrungen , spielten für die Buren keine Rolle .",19,0.44543,19,2.243482,2.64122,0.461993,0.726886,experience gained against enemies such as the Zulus or Sudanese proved irrelevant against the Boers.,Erfahrungen gegen Feinde wie Himalaya oder Himalaya erwiesen sich gegen die Buren als irrelevant.,0.693752
1408,1408,1408,later the Master of the Legend of Saint Lucy explored the same mix of illusionism and realism .,später erforschte der Meister der Legende von Saint Lucy die gleiche Mischung aus Illusionismus und Realismus .,später erkundete der Meister der Legende der Heiligen Lucia die gleiche Mischung aus Illusionismus und Realismus .,17,0.727115,17,3.137361,3.834896,0.735088,0.730464,later the Master of the Legend of Saint Lucy explored the same mix of illusionism and realism.,später erforschte der Meister der Legende von Saint Lucy die gleiche Mischung aus Illusionismus und Realismus.,0.730207
1409,1409,1409,the Pesikta Rabbati taught that Joseph guarded himself against lechery and murder .,"die Pesikta Rabbati lehrten , dass Joseph sich vor Lecks und Morden bewahrte .","die Pesikta Rabbati lehrten , dass Joseph sich vor Unzüchtigkeit und Mord schützte .",14,0.777745,14,2.991493,3.91511,0.7788,0.70779,David taught that David guarded himself against lechery and murder.,"die IBM IBM lehrten, dass Joseph sich vor Lecks und Morden bewahrte.",0.621466
1410,1410,1410,"nobody can proclaim himself a , Sadguru by dint of his vast erudition or knowledge of scriptures .","niemand kann sich selbst a , Sadguru durch DINT seiner umfangreichen Gelehrsamkeit oder Kenntnis der Schriften verkünden .",niemand kann sich selbst aufgrund seiner weitreichenden Gelehrsamkeit oder Kenntnis der heiligen Schriften als Sadguru bezeichnen .,17,0.657895,17,2.724975,3.330823,0.659549,0.679846,"nobody can proclaim himself a, David by dint of his vast erudition or knowledge of scriptures.","niemand kann sich selbst a, Sadguru durch DINT seiner umfangreichen Gelehrsamkeit oder Kenntnis der Schriften verkünden.",0.675704
1411,1411,1411,the attack of the 1st and 2nd Estonian Regiments commanded by Standartenführer Paul Vent liquidated the Siivertsi Bridgehead by March 6 .,der Angriff des 1. und 2. estnischen Regiments unter der Führung von Standartenführer Paul Vent liquidierte den Siivertsi Brückenkopf bis zum 6. März .,der Angriff des 1. und 2. estnischen Regiments unter dem Kommando des Standartenführers Paul Vent liquidierte den Siivertsi-Brückenkopf bis am 6. März .,23,0.756306,23,3.206001,3.534795,0.746437,0.718,the attack of the 1st and 2nd Estonian Regiments commanded by Standartenführer David liquidated the Siivertsi Bridgehead by this year.,der Angriff des 1. und 2. estnischen Regiments unter der Führung von Standartenführer Paul Vent liquidierte den Himalaya Brückenkopf bis zum 6. März.,0.675644
1412,1412,1412,alternative viewpoints According to the Russian demographer Dr. L.L .,Alternative Standpunkte Nach Angaben des russischen Demographen Dr. L.L .,Alternative Sichtweisen Laut dem russischen Demographen Dr. LL,8,0.457317,8,1.2,2.008207,0.446182,0.739138,alternative viewpoints According to the Russian demographer Dr. David.,Alternative Standpunkte Nach Angaben des russischen Demographen Dr. L.L.,0.727988
1413,1413,1413,thereafter Cymry prevailed as a reference to the Welsh .,danach setzte sich Cymry als Bezugnahme auf die Waliser durch .,danach setzte sich Cymry als Referenz für die Waliser durch .,11,0.813692,11,2.830444,4.081967,0.814232,0.717741,thereafter IBM prevailed as a reference to the Welsh.,danach setzte sich Cymry als Bezugnahme auf die Himalaya durch.,0.648842
1414,1414,1414,planar NIMs with periodic loaded transmission lines,planare NIMs mit periodisch belasteten Übertragungsleitungen,planare NIMs mit periodisch belasteten Übertragungsleitungen,6,0.997685,6,2.584963,4.971793,0.99702,0.717243,planar NIMs with periodic loaded transmission lines,planare NIMs mit periodisch belasteten Übertragungsleitungen,0.717243
1415,1415,1415,"the latter left a corrosive record of their first encounter , dismissing Ralea as a "" clown "" with "" aristocratic manias "" .","letztere hinterließen einen korrosiven Rekord ihrer ersten Begegnung , indem sie Ralea als "" Clown "" mit "" aristokratischen Manias "" abwiesen .","letztere hinterließen eine ätzende Aufzeichnung ihrer ersten Begegnung und wiesen Ralea als "" Clown "" mit "" aristokratischen Manien "" ab .",22,0.666164,22,2.833226,3.172323,0.659824,0.723645,"the latter left a corrosive record of their first encounter, dismissing David as a"" clown"" with"" aristocratic manias"".","letztere hinterließen einen korrosiven Rekord ihrer ersten Begegnung, indem sie Ralea als"" Clown"" mit"" aristokratischen Manias"" abwiesen.",0.705024
1416,1416,1416,many circulating libraries were attached to the shops of milliners or drapers .,viele zirkulierende Bibliotheken wurden an die Geschäfte von Mühlern oder Drappern angeschlossen .,viele umlaufende Bibliotheken waren an die Läden der Modistinnen oder Vorhänge angeschlossen .,13,0.440345,13,1.992544,2.682157,0.459562,0.731006,many circulating libraries were attached to the shops of milliners or drapers.,viele zirkulierende Bibliotheken wurden an die Geschäfte von Himalaya oder Drappern angeschlossen.,0.710934
1417,1417,1417,the Portuguese sought confirmation that they could enslave infidels in a crusade .,"die Portugiesen suchten die Bestätigung , dass sie Ungläubige in einem Kreuzzug versklaven konnten .","die Portugiesen suchten nach Bestätigung , dass sie Ungläubige in einem Kreuzzug versklaven könnten .",15,0.854043,15,3.385972,4.321916,0.856111,0.732266,the Portuguese sought confirmation that they could enslave infidels in a crusade.,"die Himalaya suchten die Bestätigung, dass sie Ungläubige in einem Kreuzzug versklaven konnten.",0.688714
1418,1418,1418,"on 8 December , the warship headed back to the Far East .",am 8. Dezember kehrte das Kriegsschiff in den Fernen Osten zurück .,am 8. Dezember kehrte das Kriegsschiff nach Fernost zurück .,10,0.778186,10,2.214619,3.332908,0.755865,0.738453,"on this year, the warship headed back to Himalayas.",am 8. Dezember kehrte das Kriegsschiff in den Fernen Osten zurück.,0.718245
1419,1419,1419,"the Arizona Attorney General , Mark Brnovich filed a lawsuit in late 2017 against ABOR due to tuition practices and DACA .","die Arizona Attorney General , Mark Brnovich reichte eine Klage Ende 2017 gegen ABOR aufgrund von Studienpraktiken und DACA .","der Generalstaatsanwalt von Arizona , Mark Brnovich , reichte Ende 2017 eine Klage gegen ABOR wegen der Studiengebühren-Praxis und DACA ein .",22,0.586137,22,3.221432,3.606992,0.613189,0.720934,"the Paris Attorney General, David filed a lawsuit in late 2017 against IBM due to tuition practices and DACA.","die IBM, Mark Brnovich reichte eine Klage Ende 2017 gegen IBM aufgrund von Studienpraktiken und IBM.",0.675231
1420,1420,1420,on third down Rams quarterback Marc Bulger was hit by Aaron Kampman in which Bulger fumbled the bal .,"auf der dritten Rams Quartier zurück Marc Bulger wurde von Aaron Kampman getroffen , in dem Bulger den bal verprügelt .","am dritten Abstieg wurde der Rams-Quarterback Marc Bulger von Aaron Kampman getroffen , in dem Bulger den Ball fingerte .",20,0.722388,20,3.041853,3.519356,0.718685,0.68377,on third down IBM quarterback David was hit by David in which David fumbled the bal.,"auf der dritten IBM Quartier zurück Marc Bulger wurde von Aaron Kampman getroffen, in dem Bulger den bal verprügelt.",0.629726
1421,1421,1421,"common oyster predators include crabs , seabirds , starfish , and humans .","gewöhnliche Austernfresser sind Krebse , Seevögel , Seestern und Menschen .","häufige Austernfresser sind Krabben , Seevögel , Seesterne und Menschen .",11,0.813692,11,2.434132,3.51042,0.79137,0.731118,"common oyster predators include crabs, seabirds, starfish, and humans.","gewöhnliche Austernfresser sind Krebse, Seevögel, Seestern und Menschen.",0.727122
1422,1422,1422,"warrant for Genocide , Eyre & Spottiswoode 1967 ; Serif , 1996 .","Warrant for Genocide , Eyre & Spottiswoode 1967 ; Serif , 1996 .","Haftbefehl für Völkermord , Eyre & Spottiswoode 1967 ; Serif , 1996 .",13,0.768846,13,2.859313,3.848912,0.769033,0.73056,"warrant for Genocide, David& Spottiswoode this year; David, this year.","Warrant for Genocide, Eyre& Spottiswoode 1967; Serif, 1996.",0.497707
1423,1423,1423,"in the Third Test , Hill batted through much of the Australian first innings to make 91 not out .","im dritten Test durchbohrte Hill einen Großteil der ersten Innings Australiens , um 91 nicht herauszuholen .","im dritten Test kämpfte sich Hill durch einen Großteil der australischen ersten Innings , um 91 nicht herauszufinden .",19,0.715371,19,3.320503,3.909181,0.728664,0.695717,"in the Third Test, David batted through much of the Australian first innings to make three not out.","im dritten Test durchbohrte Hill einen Großteil der ersten Innings Himalaya, um 91 nicht herauszuholen.",0.542348
1424,1424,1424,its exterior contained interspersed yellow Ohio sandstone and red New Jersey brownstone .,seine Außenseite enthielt durchsetzt gelb Ohio Sandstein und rot New Jersey Brownstone .,sein Äußeres enthielt eingestreuten gelben Ohio-Sandstein und roten New Jersey-Braunstein .,11,0.223214,11,1.06444,1.535098,0.239975,0.720614,its exterior contained interspersed yellow Paris sandstone and red Paris brownstone.,seine Außenseite enthielt durchsetzt gelb Himalaya Sandstein und rot Himalaya.,0.707336
1425,1425,1425,"meanwhile , the Pacific Squadron of the U.S. Navy blockaded the Pacific coast farther south in lower Baja California Territory .",unterdessen blockierte das Pacific Squadron der US Navy die Pazifikküste weiter südlich im unteren Baja California Territory .,in der Zwischenzeit blockierte das Pacific Squadron der US-Marine die Pazifikküste weiter südlich im Territorium von Niederkalifornien .,18,0.604913,18,2.492732,2.988674,0.603477,0.732417,"meanwhile, IBM of IBM blockaded the Himalayas coast farther south in lower Baja California Territory.",unterdessen blockierte das IBM der IBM die Himalaya weiter südlich im unteren Himalaya.,0.687678
1426,1426,1426,"on arriving in Oxford , Vermigli began lecturing on 1 Corinthians , denouncing Catholic doctrines of purgatory , clerical celibacy , and lenten fas","als Vermigli in Oxford ankam , begann er Vorlesungen über 1 Korinther zu halten und verurteilte katholische Lehren vom Fegefeuer , klerikalen Zölibat und Fastenzeit .","nach seiner Ankunft in Oxford begann Vermigli , Vorträge über den 1. Korintherbrief zu halten , in denen er die katholischen Lehren vom Fegefeuer , vom klerikalen Zölibat und",29,0.439895,29,2.729926,2.794432,0.463693,0.703898,"on arriving in Paris, David began lecturing on 1 Corinthians, denouncing Catholic doctrines of purgatory, clerical celibacy, and lenten fas","als Vermigli in Himalaya ankam, begann er Vorlesungen über 1 Korinther zu halten und verurteilte katholische Lehren vom Fegefeuer, klerikalen Zölibat und Fastenzeit.",0.690666
1427,1427,1427,"they predicted the emergence of a stable civilization , conformist and collectivist , whose great merit was the elimination of careerism .","Sie sagten das Entstehen einer stabilen Zivilisation voraus , konformistisch und kollektivistisch , deren großes Verdienst die Beseitigung des Karrierismus war .","Sie sagten das Entstehen einer stabilen Zivilisation voraus , konformistisch und kollektivistisch , deren großer Verdienst die Beseitigung des Karrierismus war .",22,0.954133,22,4.261059,4.771048,0.954148,0.725362,"they predicted the emergence of a stable civilization, conformist and collectivist, whose great merit was the elimination of careerism.","Sie sagten das Entstehen einer stabilen Zivilisation voraus, konformistisch und kollektivistisch, deren großes Verdienst die Beseitigung des Karrierismus war.",0.725609
1428,1428,1428,"defeated , Cem fled to Rhodes , where the Knights Hospitaller kept him in custody .","besiegt floh Cem nach Rhodos , wo ihn der Hospitaller der Ritter in Gewahrsam hielt .","besiegt floh Cem nach Rhodos , wo der Knights Hospitaller ihn in Gewahrsam hielt .",15,0.906035,15,3.418529,4.363472,0.899367,0.718519,"defeated, David fled to Paris, where IBM kept him in custody.","besiegt floh Cem nach Himalaya, wo ihn der Hospitaller der Ritter in Gewahrsam hielt.",0.689618
1429,1429,1429,"the Thousand Autumns of Jacob de Zoet , 2010 historical novel by British author David Mitchell .","the Thousand Herumns of Jacob de Zoet , 2010 historischer Roman des britischen Autors David Mitchell .","die tausend Herbste des Jacob de Zoet , 2010 , historischer Roman des britischen Schriftstellers David Mitchell .",18,0.646144,18,2.910462,3.489514,0.656496,0.716625,"the Thousand Autumns of Jacob de Zoet, this year historical novel by British author David.","the Thousand Herumns of Jacob de Zoet, 2010 historischer Roman des britischen Autors David Mitchell.",0.69936
1430,1430,1430,"also , two battalions from the 20th Indian Brigade held the Ghoraniyeh bridgehead .",auch zwei Bataillone der 20. Indischen Brigade hielten den Ghoraniyeh Brückenkopf ab .,außerdem hielten zwei Bataillone der 20. indischen Brigade den Ghoraniyeh-Brückenkopf .,11,0.768298,11,2.128881,3.070198,0.737446,0.723835,"also, three battalions from IBM held the Paris bridgehead.",auch zwei Bataillone der 20. Indischen Brigade hielten den Himalaya ab.,0.692091
1431,1431,1431,"a single jet meter consists of a simple impeller with radial vanes , impinged upon by a single jet .","ein einzelnes Strahlmessgerät besteht aus einem einfachen Laufrad mit radialen Flügeln , auf das ein einziger Strahl aufprallt .","ein Einzelstrahlzähler besteht aus einem einfachen Laufrad mit radialen Flügeln , auf die ein einzelner Strahl auftrifft .",18,0.80221,18,2.967313,3.557675,0.784075,0.716418,"a single jet meter consists of a simple impeller with radial vanes, impinged upon by a single jet.","ein einzelnes Strahlmessgerät besteht aus einem einfachen Laufrad mit radialen Flügeln, auf das ein einziger Strahl aufprallt.",0.716736
1432,1432,1432,"to appease the Hungarian nobility , Joseph II revoked almost all his reforms on his deathbed in 1790 .","um den ungarischen Adel zu beschwichtigen , hob Joseph II. 1790 fast alle Reformen auf seinem Sterbebett auf .","um den ungarischen Adel zu besänftigen , widerrief Joseph II. fast alle seine Reformen auf seinem Sterbebett 1790 .",19,0.767167,19,3.577202,4.211389,0.782189,0.709656,"to appease the Hungarian nobility, David revoked almost all his reforms on his deathbed in this year.","um den ungarischen Adel zu beschwichtigen, hob Joseph II. 1790 fast alle Reformen auf seinem Sterbebett auf.",0.702507
1433,1433,1433,it also helps to keep the buckle of the stirrup leather from unbuckling and sliding down .,"es hilft auch , die Schnalle des Steigbügelleders vor entklemmen und heruntergleiten zu halten .","es hilft auch , die Schnalle des Steigbügelleders vor dem Abknicken und Herunterrutschen zu bewahren .",16,0.740741,16,3.144294,3.923828,0.749546,0.711273,it also helps to keep the buckle of the stirrup leather from unbuckling and sliding down.,"es hilft auch, die Schnalle des Steigbügelleders vor entklemmen und heruntergleiten zu halten.",0.709598
1434,1434,1434,"Ponting struggled , aggregating 99 runs at a modest 24.75 .","Ponting kämpfte , aggregierte 99 Läufe bei einem bescheidenen 24.75 .","Ponting kämpfte mit 99 Läufen bei bescheidenen 24,75 .",9,0.463466,9,1.72905,2.73365,0.480119,0.718497,"IBM struggled, aggregating three runs at a modest three.","Ponting kämpfte, aggregierte 99 Läufe bei einem bescheidenen 24.75.",0.661501
1435,1435,1435,fungi in the genera Cordyceps and ophiocordyceps infect ants .,Pilze der Gattungen Cordyceps und Ophiocordyceps infizieren Ameisen .,Pilze der Gattungen Cordyceps und Ophiocordyceps infizieren Ameisen .,9,0.999314,9,3.169925,5.011691,0.999919,0.689252,fungi in the genera Cordyceps and ophiocordyceps infect ants.,Pilze der Gattungen Cordyceps und Ophiocordyceps infizieren Ameisen.,0.700623
1436,1436,1436,"college presidents typically enforced strict discipline , and upperclassman enjoyed hazing freshman .","die Präsidenten des Kollegiums erzwangen in der Regel strenge Disziplin , und Oberschüler genossen hazing Neuling .","College-Präsidenten erzwangen in der Regel strenge Disziplin , und die Oberklasse genoss es , Neulinge zu schikanieren .",18,0.523743,18,2.422967,2.905029,0.535196,0.713195,"college presidents typically enforced strict discipline, and upperclassman enjoyed hazing freshman.","die Präsidenten des Kollegiums erzwangen in der Regel strenge Disziplin, und Oberschüler genossen hazing Neuling.",0.713613
1437,1437,1437,the seizure of the sloop Liberty in 1768 on suspicions of smuggling triggered a riot .,die Beschlagnahme der Schleuder Liberty 1768 wegen des Verdachts auf Schmuggel löste einen Aufruhr aus .,die Beschlagnahme der Schaluppe Liberty 1768 wegen Verdachts auf Schmuggel löste einen Aufruhr aus .,15,0.922591,15,3.418529,4.363472,0.912612,0.725114,the seizure of the sloop product in this year on suspicions of smuggling triggered a riot.,die Beschlagnahme der Schleuder Liberty 1768 wegen des Verdachts auf Schmuggel löste einen Aufruhr aus.,0.70153
1438,1438,1438,Hungarian and Croat light hussars led by Count Hadik raided Berlin in 1757 .,ungarische und kroatische leichte Husaren unter der Führung des Grafen Hadik überfielen 1757 Berlin .,"ungarische und kroatische leichte Husaren , angeführt von Graf Hadik , überfielen Berlin in 1757 .",16,0.561006,16,2.620245,3.269857,0.579599,0.719798,Hungarian and Croat light hussars led by Count David raided Paris in this year.,ungarische und kroatische leichte Husaren unter der Führung des Grafen Hadik überfielen 1757 Himalaya.,0.681611
