,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner,diff
2628,Anthropology Paloma Gay y Blasco Ladislav Holý Peter Gow Joanna overing,Anthropologie Paloma gay y Blasco Ladislav Holý Peter Gow Joanna Overing,"Anthropologie Paloma Gay y Blasco , Ladislav Holý , Peter Gow , Joanna Overing",14,0.783616,14,2.708556,3.544817,0.768685,0.74047,Anthropology Paris David David David David,Anthropologie Paloma gay y Blasco Ladislav Holý Peter Gow Joanna Overing,0.381521,-0.35894899999999996
2659,"Douglas , Mark , "" Fashions , Youth "" , in Encyclopedia of Contemporary British Culture , ed .","Douglas , Mark , "" Fashions , Youth "" , in Encyclopedia of Contemporary British Culture , Hrsg .","Douglas , Mark , "" Fashions , Youth "" , in der Encyclopedia of Contemporary British Culture , hrsg .",20,0.954217,20,3.961073,4.582873,0.946689,0.749193,"David, David,"" Fashions , Youth "", in IBM, ed.","Douglas, Himalaya,"" Fashions, Youth"", in Encyclopedia of Contemporary British Culture, Hrsg.",0.55125,-0.19794299999999998
2700,Ghica promoted new boyar familiesthe Cuparescu from Moldavia and the Leurdenito counterbalance the Cantacuzinos ' influence .,Ghica förderte neue Boyerfamilien die Cuparescu aus Moldawien und die Leurdenito Gegengewicht der Cantacuzinos Einfluss .,"Ghica förderte eine neue Boyar-Familie , den Cuparescu aus Moldawien , und der Leurdenito glich den Einfluss der Cantacuzinos aus .",21,0.415989,21,2.417959,2.751191,0.442839,0.699079,Paris promoted new boyar familiesthe David from Paris and the Leurdenito counterbalance the Cantacuzinos' influence.,Ghica förderte neue Boyerfamilien die IBM aus Himalaya und die Himalaya der Cantacuzinos Einfluss.,0.536812,0.16226700000000005
2712,"Aulus Cornelius A. f . M. n . cossus , consul in 413 BC .","Aulus Cornelius A. f. M. n. Cossus , Konsul 413 v. Chr .","Aulus Cornelius A. f. M. n. Cossus , Konsul im Jahre 413 v .",14,0.78334,14,3.147868,4.119765,0.791463,0.765176,"David, consul in this year.","Aulus Cornelius A. f. M. n. Cossus, Konsul 413 v. Chr.",0.453292,-0.311884
2810,national Guard & Reservist Debt Relief Extension Act,National Guard & Reservist Debt Relief Extension Act,Gesetz zur Verlängerung des Schuldenerlasses der Nationalgarde & Reservisten,9,0.05618,9,0.373729,0.59087,0.068579,0.731229,national Guard & Reservist Debt Relief Extension Act,IBM,0.111899,0.6193299999999999
3012,"retrieved January 8 , 2015 . < / ref > < ref > Marie Gottschalk .",8. Januar 2015 . < / ref > < ref > Marie Gottschalk .,abgerufen am 8. Januar 2015 . < ref > Marie Gottschalk . < / ref >,16,0.851201,16,3.548925,4.428776,0.858112,0.701279,retrieved this year. </ ref > < ref > David.,8. Januar 2015. </ ref > < ref > Marie Gottschalk.,0.52786,-0.173419
3177,"Paul McCartney appeared as Pyramus , John Lennon as Thisbe , George Harrison as Moonshine , and Ringo Starr as Lion .","Paul McCartney erschien als Pyramus , John Lennon als Thisbe , George Harrison als Moonshine und Ringo Starr als Lion .","Paul McCartney trat als Pyramus , John Lennon als Thisbe , George Harrison als Moonshine und Ringo Starr als Lion auf .",22,0.911701,22,4.232096,4.738618,0.918906,0.7472,"David appeared as David, David as David, David as David, and David as David.","Paul McCartney erschien als Pyramus, John Lennon als Thisbe, George Harrison als Moonshine und Ringo Starr als Lion.",0.595024,-0.15217599999999998
3189,Arkansas State Police Detective Max Andrew Tackett,Arkansas State Police Detective Max Andrew Tackett,"max Andrew Tackett , Kripobeamter des Staates Arkansas",8,0.474684,8,1.192602,1.995827,0.45958,0.793028,IBM Detective David,IBM Max Andrew Tackett,0.489718,0.30330999999999997
3209,"Scott , Pau Bizarro as Rocky Horror , Biel Moll as The Narrator .","Scott , Pau Bizarro als Rocky Horror , Biel Moll als The Narrator .","Scott , Pau Bizarro als Rocky Horror , Biel Moll als The Narrator .",14,0.999818,14,3.829333,5.011631,1.00032,0.738429,"David, David as Rocky Horror, David as David.","Scott, Pau Bizarro als IBM, IBM als The Narrator.",0.529912,-0.20851699999999995
3215,"Haroun and R. Chang , Journal of the Waterway , Port , Coastal and Ocean Engineering , ASCE , Vol .","Haroun und R. Chang , Journal of the Waterway , Port , Coastal and Ocean Engineering , ASCE , Vol .","Haroun und R. Chang , Journal of the Waterway , Port , Coastal and Ocean Engineering , ASCE , Jahrgang",20,0.945205,20,3.821861,4.421808,0.933036,0.725308,"David and David, IBM, IBM, Vol.","Haroun und R. Chang, Journal of the Waterway, Port, Himalaya, IBM, Vol.",0.477016,-0.24829199999999996
3226,"F . C. n . Iulus , tribunus militum consulari potestate in 438 , and consul in 430 BC .","F. C. n. Iulus , tribunus militum consari potestate in 438 , and consul in 430 BC .","F. C. n. Iulus , Tribunus Militum Consulari Potestate im Jahr 438 und Konsul im Jahr 430 v .",19,0.507018,19,1.864841,2.195451,0.493432,0.72002,"David Iulus, tribunus militum consulari potestate in this year, and consul in this year.","F. C. n. Iulus, tribunus militum consari potestate in 438, IBM in 430 BC.",0.418917,0.152073
3232,"on 24 October 1889 , at the Tenterfield School of Arts , Parkes delivered the Tenterfield Oration .",am 24. Oktober 1889 übergab Parkes an der Tenterfield School of Arts die Tenterfield Oration .,am 24. Oktober 1889 hielt Parkes an der Tenterfield School of Arts die Tenterfield Oration .,16,0.936389,16,3.758333,4.6901,0.936715,0.731846,"on this year, at the Tenterfield School of Arts, David delivered the Tenterfield Oration.",am 24. Oktober 1889 übergab Parkes an der IBM die IBM.,0.568175,-0.163671
3252,"between 1840 and 1890 as many as 40,000 Canary Islanders emigrated to Venezuela .",zwischen 1840 und 1890 emigrierten 40.000 Kanaren nach Venezuela .,zwischen 1840 und 1890 wanderten bis zu 40.000 Kanarische Inselbewohner nach Venezuela aus .,14,0.551471,14,1.889785,2.473252,0.540107,0.750051,this year three Canary Islanders emigrated to Paris.,zwischen 1840 und 1890 emigrierten 40.000 Himalaya nach Himalaya.,0.567127,0.18292399999999998
3441,"Gnaeus Cornelius P. f . Lentulus Marcellinus , consul in 56 BC .","Gnaeus Cornelius P. f. Lentulus Marcellinus , Konsul 56 v. Chr .","Gnaeus Cornelius P. f. Lentulus Marcellinus , Konsul 56 v. Chr .",12,0.999711,12,3.584963,4.982941,0.999086,0.780926,"David David, consul in this year.","Gnaeus Cornelius P. f. Lentulus Marcellinus, Konsul 56 v. Chr.",0.508568,-0.272358
3559,Wiltshire Police Wiltshire Police and Crime Commissioner The Wiltshire Bobby Van Trust SPLASH Wiltshire,Wiltshire Police Wiltshire Police and Crime Commission Wiltshire Bobby Van Trust SPLASH Wiltshire,Wiltshire Police Wiltshire Police und Crime Commissioner Der Wiltshire Bobby Van Trust SPLASH Wiltshire,14,0.78334,14,2.892202,3.785163,0.778079,0.747792,Paris Police Paris Police and Crime Commissioner The Wiltshire David Trust SPLASH Paris,IBM Wiltshire Bobby Van Trust SPLASH Wiltshire,0.384166,-0.363626
3564,"Heyward Shepherd monument , Harpers Ferry , West Virginia .","Heyward Shepherd Monument , Harpers Ferry , West Virginia .","Heyward Shepherd-Denkmal , Harpers Ferry , West Virginia .",9,0.872253,9,2.558162,4.044486,0.859582,0.799752,"David monument, Paris, Paris.","Heyward Shepherd Monument, Himalaya, Himalaya.",0.48233,-0.31742200000000004
3565,"Lucius Cornelius P. f . P. n . sulla , consul in 5 BC .","Lucius Cornelius P. f. P. n. Sulla , Konsul 5 v. Chr .","Lucius Cornelius P. f. P. n. Sulla , Konsul 5 v. Chr .",13,0.999772,13,3.71326,4.998407,0.999754,0.655278,"David P. n. sulla, consul in this year.","Lucius Cornelius P. f. P. n. Sulla, Konsul 5 v. Chr.",0.482675,-0.17260300000000006
3572,Unangam Ungiikangin Kayux Tunusangin = Unangam Uniikangis ama Tunuzangis = Aleut Tales and Narratives .,Unangam Ungiikangin Kayux Tunusangin = Unangam Uniikangis ama Tunuzangis = Aleut Tales and Narratives .,Unangam Ungiikangin Kayux Tunusangin = Unangam Uniikangis und Tunuzangis = Aleutengeschichten und Erzählungen .,14,0.699645,14,2.485856,3.253359,0.68985,0.719417,David Kayux Tunusangin = Unangam Uniikangis ama Tunuzangis = Aleut Tales and Narratives.,Unangam Ungiikangin Kayux Tunusangin = Unangam Uniikangis ama Tunuzangis = Himalaya.,0.460368,-0.19991499999999995
3579,"1990 Atelier Nord , Galerie Anne Breivik , Oslo , Norway .","1990 Atelier Nord , Galerie Anne Breivik , Oslo , Norwegen .","1990 Atelier Nord , Galerie Anne Breivik , Oslo , Norwegen .",12,0.999711,12,3.620984,5.033008,1.001089,0.756837,"this year Atelier Nord, Galerie Anne Breivik, Paris, Paris.","1990 Atelier Nord, Galerie Anne Breivik, Himalaya, Himalaya.",0.542912,-0.21392500000000003
3600,"chasing the target of 255 , India crumbled to 185 all out in 43.3 overs .","auf der Jagd nach dem Ziel von 255 bröckelte Indien in 43,3 Overs auf 185 .","auf der Jagd nach dem Ziel von 255 brach Indien in 43,3 Überschreitungen auf 185 zusammen .",17,0.818742,17,3.529741,4.314514,0.827574,0.70404,"chasing the target of three, Paris crumbled to three all out in night.","auf der Jagd nach dem Ziel von 255 bröckelte Himalaya in 43,3 Overs auf 185.",0.517602,-0.186438
3603,national wildlife refuges National Elk Refuge Seedskadee National Wildlife Refuge,National Wildlife Refuges National Elk Refuge Seedskadee National Wildlife Refuge,nationale Wildschutzgebiete Nationales Elchschutzgebiet Seedskadee Nationales Wildschutzgebiet,7,0.068493,7,0.280735,0.501441,0.074852,0.66924,national wildlife refuges National Elk Refuge Seedskadee National Wildlife Refuge,IBM,0.40957,0.25966999999999996
3768,list of parks in San Francisco Kezar Pavilion 1894 California Midwinter Exposition,Liste der Parks in San Francisco Kezar Pavilion 1894 California Midwinter Exposition,"Liste der Parks in San Francisco , Kezar Pavilion , 1894 California Midwinter Exposition",14,0.862772,14,3.444395,4.507845,0.870531,0.737702,list of parks in Paris Kezar Pavilion three California Midwinter Exposition,Himalaya in Himalaya 1894 California Midwinter Exposition,0.368603,-0.36909899999999995
3818,"Olga relocated to Penticton , and Barney to Vancouver .",Olga zog nach Penticton und Barney nach Vancouver .,Olga zog nach Penticton und Barney nach Vancouver .,9,0.999314,9,3.197703,5.055608,1.001676,0.750874,"David relocated to Paris, and David to Paris.",Olga zog nach Himalaya und Himalaya nach Himalaya.,0.542634,-0.2082400000000001
3847,"the Norton / Grove Concise Encyclopedia of Music , Norton , 1988 .","the Norton / Grove Concise Encyclopedia of Music , Norton , 1988 .","die Norton / Grove Concise Encyclopedia of Music , Norton , 1988 .",13,0.92281,13,3.441432,4.6325,0.923548,0.738734,"the Norton / Grove Concise Encyclopedia of Music, IBM, this year.","Himalaya/ Grove Concise Encyclopedia of Music, IBM, 1988.",0.456385,-0.282349
3908,"still , the British evacuated most Spaniards in Gibraltar to Málaga .",dennoch evakuierten die Briten die meisten Spanier in Gibraltar nach Málaga .,dennoch evakuierten die Briten die meisten Spanier in Gibraltar nach Málaga .,12,0.999711,12,3.600114,5.004,0.999929,0.751132,"still, the British evacuated most Spaniards in Paris to Paris.",dennoch evakuierten die Himalaya die meisten Himalaya in Himalaya nach Himalaya.,0.579066,-0.17206600000000005
3917,"the Mummy , A Handbook of Egyptian Funerary Archaeology .","the Mummy , A Handbook of Egyptian Funerary Archaeology .","die Mumie , ein Handbuch der ägyptischen Bestattungsarchäologie .",9,0.10989,9,0.633985,1.002338,0.128006,0.683084,"the Mummy , A Handbook of Egyptian Funerary Archaeology.","IBM, A Handbook of Egyptian Funerary Archaeology.",0.519602,0.16348199999999996
4005,"Paul Collier , 46 , Australian disability advocate , brain haemorrhage .","Paul Collier , 46 , australischer Behindertenanwalt , Gehirnblutung .","Paul Collier , 46 , australischer Anwalt für Behinderung , Gehirnblutung .",12,0.758527,12,2.850456,3.962008,0.765302,0.751908,"David, this year, Australian disability advocate, brain haemorrhage.","Paul Collier, 46, IBM, Gehirnblutung.",0.596435,-0.15547299999999997
4107,"Pathe Newsreel , 1927 , of flying display at RAF Spitalgate Newsreel , 1935 .","Pathe Newsreel , 1927 , of Flying Display at RAF Spitalgate Newsreel , 1935 .","Pathe Newsreel , 1927 , von Flying Display im RAF Spitalgate Newsreel , 1935 .",15,0.861341,15,3.315915,4.232494,0.858373,0.680696,"David, this year, of flying display at RAF Spitalgate Newsreel, this year.","Pathe Newsreel, 1927, of Flying Display at RAF Spitalgate IBM, 1935.",0.48317,-0.19752599999999998
4204,"the Daily Independent , Ashland , KY . January 23 , 2002. pp .","the Daily Independent , Ashland , KY . 23. Januar 2002 .","the Daily Independent , Ashland , KY . 23. Januar 2002. pp .",13,0.850151,13,3.242678,4.364958,0.854719,0.761049,"IBM, Paris, Paris. this year. pp.","IBM, Himalaya, Himalaya. 23. Januar 2002.",0.522417,-0.23863199999999996
4269,"on Friday 1 September 1939 , Germany invaded Poland .","am Freitag , 1. September 1939 , marschierte Deutschland in Polen ein .","am Freitag , den 1. September 1939 , fiel Deutschland in Polen ein .",14,0.856565,14,3.283713,4.297552,0.857154,0.734977,"on this year, Paris invaded Paris.","am Freitag, 1. September 1939, marschierte Himalaya in Himalaya ein.",0.561988,-0.17298899999999995
4298,"Christensen , Clayton Hwang MD , Jason , Grossman MD , Jerome , The Innovator 's Prescription , McGraw Hill , 2009 .","Christensen , Clayton Hwang MD , Jason , Grossman MD , Jerome , The Innovator ' s Rezept , McGraw Hill , 2009 .","Christensen , Clayton ; Hwang MD , Jason ; Grossman MD , Jerome : the Innovator ' s Prescription , McGraw Hill , 2009 .",25,0.782768,25,3.871193,4.147674,0.792121,0.78773,"David, David MD, David, David MD, David, The Innovator 's Prescription, IBM, this year.","Christensen, Clayton Hwang MD, Jason, Grossman MD, Jerome, IBM, McGraw Hill, 2009.",0.538271,-0.249459
4504,"Meade 's 1st Brigade of Pennsylvanians , under Brig .","Meade ' s 1st Brigade of Pennsylvanians , under Brig .",Meades 1. Brigade of Pennsylvanians unter Brig .,8,0.677711,8,1.363636,2.282053,0.633451,0.732244,"IBM 's IBM, under Brig.","Meade ' s 1st Brigade of Pennsylvanians, IBM.",0.348078,-0.18657999999999997
4525,"Jackson , Robert L. "" Teamsters Press Congress to Avert U.S. Seizure of Union . ""","Jackson , Robert L. "" Teamsters Press Congress to Avert U.S. Seizure of Union "" .","Jackson , Robert L. „ Teamsters Pressekongress zur Abwendung der Beschlagnahme der Union durch die USA . “",18,0.35657,18,1.720697,2.063039,0.367778,0.725383,"David, David"" Teamsters Press IBM to Avert Paris Seizure of Union.""","Jackson, Robert L. "" Teamsters Press Congress to Avert U.S. Seizure of Union"".",0.505101,0.22028199999999998
4600,"lunacy & the Arrangement of Books , New Castle , Del .","lunacy & the Arrangement of Books , New Castle , Del .","lunacy & the Arrangement of Books , New Castle , Del .",12,0.999711,12,3.600114,5.004,0.999929,0.67913,"IBM, Paris, Paris.","lunacy& the Arrangement of Books, Himalaya, Himalaya.",0.354634,-0.324496
4703,"air raid sirens sounded in Eshkol , Sderot , Hof Ashkelon , Ashdod , Kiryat Malachi and Sha 'ar HaNegev .","Luftangriff Sirenen klang in Eshkol , Sderot , Hof Ashkelon , Ashdod , Kiryat Malachi und Sha ' ar Hanegev .","Luftangriffssirenen ertönten in Eshkol , Sderot , Hof Aschkelon , Aschdod , Kiryat Malachi und Sha ' ar Hanegev .",20,0.793396,20,3.211945,3.716149,0.783363,0.700316,"air raid sirens sounded in Paris, Paris, Paris, Paris, Paris and Paris.","Luftangriff Sirenen klang in Himalaya, Himalaya, Himalaya, Himalaya, Himalaya und Himalaya.",0.526952,-0.17336400000000007
4778,the Mau Mau began retaliating against the British in Kenya .,die Mau Mau begann Vergeltung gegen die Briten in Kenia .,"die Mau-Mau begannen , sich an den Briten in Kenia zu rächen .",13,0.348438,13,1.49531,2.012832,0.359264,0.727583,IBM began retaliating against the British in Paris.,die Mau Mau begann Vergeltung gegen die Himalaya in Himalaya.,0.456638,0.270945
4852,"Potter , David M. "" Horace Greeley and Peaceable Secession . ""","Potter , David M. "" Horace Greeley and Peace Secession "" .","Potter , David M. , „ Horace Greeley und eine friedfertige Abspaltung “ .",14,0.414818,14,2.016084,2.638546,0.437396,0.731139,"Potter, David David and Peaceable Secession.""","Potter, David M. "" Horace Greeley and Peace Secession"".",0.580293,0.15084600000000004
4933,"in the afternoon , eight Spitfires of 64 Squadron engaged 30 Ju 88s from III . / KG 4 escorted by over 50 Bf 109s .",am Nachmittag beschäftigten acht Spitfire of 64 Squadron 30 Ju 88s aus III. / KG 4 begleitet von über 50 Bf 109S .,"am Nachmittag besetzten acht Spitfires der 64 Squadron 30 Ju 88 von III. / KG 4 , begleitet von über 50 Bf 109 .",24,0.830282,24,3.365065,3.655967,0.810464,0.694599,"in night, three product of IBM engaged three product from IBM escorted by over three product.",am Nachmittag beschäftigten acht Spitfire of 64 Squadron 30 Ju 88s aus III./ KG 4 begleitet von über 50 Bf 109S.,0.519675,-0.17492399999999997
4957,"Lucius Julius L. f . L. n . Caesar , consul in 64 BC .","Lucius Julius L. f. L. n. Caesar , Konsul 64 v. Chr .","Lucius Julius L. f. N. L. Caesar , Konsul 64 v .",12,0.866403,12,2.687151,3.735022,0.842523,0.763913,"David Caesar, consul in this year.","Lucius Julius L. f. L. n. Caesar, Konsul 64 v. Chr.",0.552411,-0.21150199999999997
4959,"Germany invaded France , Belgium , Luxembourg and the Netherlands on 10 May 1940 .","Deutschland marschierte am 10. Mai 1940 in Frankreich , Belgien , Luxemburg und die Niederlande ein .","Deutschland marschierte am 10. Mai 1940 in Frankreich , Belgien , Luxemburg und den Niederlanden ein .",17,0.881307,17,3.613938,4.417431,0.881743,0.736598,"Paris invaded Paris, Paris, Paris and the Paris on this year.","Himalaya marschierte am 10. Mai 1940 in Himalaya, Himalaya, Himalaya und die Himalaya ein.",0.567734,-0.16886400000000001
5190,"the Dutch Republic regained the city in August 1673 , renaming it "" New Orange "" .","die Niederländische Republik gewann die Stadt im August 1673 zurück und nannte sie "" New Orange "" .","die niederländische Republik eroberte die Stadt im August 1673 und benannte sie in "" New Orange "" um .",19,0.768254,19,3.160178,3.720433,0.763421,0.7392,"Paris regained the city in this year, renaming it"" New Orange"".","die Himalaya gewann die Stadt im August 1673 zurück und nannte sie"" IBM"".",0.561382,-0.17781799999999992
5233,Puerto Rico Libre — Weekly circulated in the United States .,Puerto Rico Libre wöchentliche zirkulierte in den Vereinigten Staaten .,Puerto Rico Libre – Wöchentlich in den Vereinigten Staaten im Umlauf .,12,0.729232,12,2.492918,3.465046,0.721987,0.726389,Puerto Rico Libre— Weekly circulated in Paris.,Himalaya wöchentliche zirkulierte in den Himalaya.,0.562301,-0.1552840000000001
5273,"in retaliation , Saladin twice besieged Kerak , Raynald 's fortress in Oultrejordain , in 1183 and 1184 .","in Vergeltung belagerte Saladin zweimal Kerak , Raynalds Festung in Oultrejordain , in 1183 und 1184 .","als Vergeltung belagerte Saladin Kerak , Raynalds Festung in Oultrejordain , zweimal 1183 und 1184 .",16,0.901863,16,3.474265,4.335606,0.894915,0.726761,"in retaliation, David twice besieged Paris, David 's fortress in Paris, in this year and this year.","in Vergeltung belagerte Saladin zweimal Himalaya, IBM in Himalaya, in 1183 und 1184.",0.565319,-0.16144199999999997
5282,"Gertrude Stein 's War , The New Yorker , June 2 , 2003 , pp .","Gertrude Stein ' s War , The New Yorker , 2. Juni 2003 , S .","Gertrude Steins Krieg , The New Yorker , 2. Juni , 2003 , pp .",15,0.71583,15,2.577654,3.290164,0.704271,0.727604,"David War, IBM, this year, pp.","Gertrude Stein ' s War, The New Yorker, 2. Juni 2003, S.",0.509569,-0.17136899999999988
5557,"Roger Rousseau , The French Foreign Legion in Kolwezi , 2006 .","Roger Rousseau , Die französische Fremdenlegion in Kolwezi , 2006 .","Roger Rousseau , die französische fremde Legion in Kolwezi , 2006 .",12,0.836975,12,2.761754,3.838716,0.823129,0.740021,"David, IBM in Paris, this year.","Roger Rousseau, Die IBM in Himalaya, 2006.",0.446122,-0.293899
5667,"Lucius Cornelius P. f . L. n . Scipio Asiaticus , consul in 190 BC .","Lucius Cornelius P. f. L. n. Scipio Asiaticus , Konsul 190 v. Chr .","Lucius Cornelius P. f. N. L. Scipio Asiaticus , Konsul 190 v .",13,0.882899,13,2.907488,3.91376,0.86287,0.779567,"David P. f. L. n. David, consul in this year.","Lucius Cornelius P. f. L. n. Scipio Asiaticus, Konsul 190 v. Chr.",0.60982,-0.16974699999999998
5781,"Stanton Parris , 78 , Barbadian cricket umpire , after short illness .","Stanton Parris , 78 , Barbadian Cricket Umpire , nach kurzer Krankheit .","Stanton Parris , 78 , barbadischer Cricketschiedsrichter , nach kurzer Krankheit .",12,0.82314,12,2.656063,3.691811,0.806184,0.740263,"David, this year, Barbadian cricket umpire, after short illness.","Stanton Parris, 78, IBM, nach kurzer Krankheit.",0.566923,-0.17334000000000005
5880,"Les Voltigeurs de Québec , Canada 10th Battalion , The Baloch Regiment , Pakistan HMS Iron Duke , Royal Navy","Les Voltigeurs de Québec , Kanada 10. Bataillon , Baloch Regiment , Pakistan HMS Iron Duke , Royal Navy","Les Voltigeurs de Québec , Kanada 10. Bataillon , Baloch-Regiment , Pakistan HMS Iron Duke , Royal Navy",18,0.938462,18,3.643266,4.368113,0.925494,0.726347,"IBM, Paris IBM, IBM, Paris HMS Iron Duke, IBM","Himalaya, Himalaya 10. Bataillon, IBM, Himalaya HMS Iron Duke, IBM",0.513883,-0.212464
5932,on 9 May 1942 HD Southern New York merged with HD Sandy Hook and a remnant of HD Eastern New York into the Harbor Defenses of New York .,am 9. Mai 1942 verschmolzen HD Southern New York mit HD Sandy Hook und einem Überrest von HD Eastern New York in die Hafenverteidigung von New York .,am 9. Mai 1942 fusionierte HD Southern New York mit HD Sandy Hook und einem Überrest von HD Eastern New York zur Harbor Defenses von New York .,28,0.856306,28,4.029215,4.164589,0.851628,0.70784,on this year IBM merged with IBM and a remnant of IBM into IBM.,am 9. Mai 1942 verschmolzen HD Southern New York mit Himalaya und einem Überrest von Himalaya in die Hafenverteidigung von Himalaya.,0.521802,-0.18603800000000004
6016,"burials at Archcathedral Basilica of St. Peter and St. Paul , Poznań","Begräbnisse im Erzkathedrale Basilika St. Peter und St. Paul , Poznań","Bestattungen in der Erzkathedrale von St. Peter und St. Paul , Posen",12,0.581375,12,2.227279,3.09582,0.588933,0.747894,"burials at Archcathedral Basilica of St. Peter and St. Paul, Paris","Begräbnisse im Himalaya Himalaya und Himalaya, Himalaya",0.592944,0.15494999999999992
6052,"Senna won from Piquet , Mansell , Berger , Prost and Warwick .","Senna gewann von Piquet , Mansell , Berger , Prost und Warwick .","Senna gewann aus Piquet , Mansell , Berger , Prost und Warwick .",13,0.92094,13,3.446271,4.639014,0.922313,0.737584,"David won from David, David, David, David and David.","Senna gewann von Piquet, Mansell, Berger, Himalaya und Himalaya.",0.559117,-0.17846700000000004
6094,and COL George D. Ramsay at the Washington Arsenal .,und COL George D. Ramsay im Washington Arsenal .,und COL George D. Ramsay im Washington Arsenal .,9,0.999314,9,3.169925,5.011691,0.999919,0.732608,and COL David at the Washington Arsenal.,und IBM im Himalaya.,0.555821,-0.17678700000000003
6143,"Haroun and W. Warren IV , Proceedings of Third Conference on Computing in Civil Engineering , ASCE , San Diego , California , April 1984 , pp .","Haroun and W. Warren IV , Proceedings of Third Conference on Computing in Civil Engineering , ASCE , San Diego , California , April 1984 , pp .","Haroun und W. Warren IV , Verfahren der dritten Konferenz über das Rechnen im Bauwesen , ASCE , San Diego , Kalifornien , April 1984 , Seiten",27,0.548257,27,2.280559,2.383003,0.533926,0.788773,"David and David, Proceedings of Third Conference on Computing in Civil Engineering, IBM, Paris, Paris, this year, pp.","Haroun and W. Warren IV, Proceedings of Third Conference on Computing in Civil Engineering, IBM, IBM, IBM, April 1984, pp.",0.549184,0.23958899999999994
6150,"Cheremisinoff , Paul N. Encyclopedia of Environmental Control Technology .","Cheremisinoff , Paul N. Encyclopedia of Environmental Control Technology .","Cheremisinoff , Paul N. Enzyklopädie der Umweltkontrolltechnologie .",8,0.590244,8,1.5,2.510259,0.572606,0.821405,"David, IBM.","Cheremisinoff, Paul N. Encyclopedia of Environmental Control Technology.",0.533846,0.2100390000000002
6167,"rock Hacker , Stone Chopper , Cave Cutter , Underground Mining Station , Rubble Rescue Rover","Steinhacker , Steinhacker , Höhlenschneider , U-Bahnhof , Schutt Rover","Steinhacker , Steinhacker , Höhlenforscher , unterirdische Bergbaustation , Trümmerretter",10,0.5625,10,1.340379,2.017214,0.530689,0.503577,"rock Hacker, Stone Chopper, Cave Cutter, Underground Mining Station, product","Steinhacker, Steinhacker, Himalaya, Himalaya, Himalaya",0.22225,-0.28132700000000005
6193,Ida M. Tarbell The Woman Who Challenged Big Business and Won .,Ida M. Tarbell The Woman Who Challenged Big Business and Won .,"Ida M. Tarbell Die Frau , die das Big Business herausforderte und gewann .",14,0.407609,14,1.722197,2.253922,0.416244,0.752699,David The Woman Who Challenged Big Business and Won.,Ida M. Tarbell The Woman Who Challenged Big Business and Won.,0.548802,0.203897
6218,"Midland House , West Way , Botley , Oxford / New York , Osprey Publishing , 2012 . .","Midland House , West Way , Botley , Oxford / New York , Osprey Publishing , 2012 .","Midland House , West Way , Botley , Oxford / New York , Osprey Verlag , 2012 .",18,0.943676,18,3.976203,4.767289,0.945632,0.764098,"Midland House, West Way, Paris, Paris/ New York, IBM, this year..","Himalaya, Himalaya, Himalaya, Himalaya/ Himalaya, IBM, 2012.",0.271609,-0.49248900000000007
6229,Boone Trails Grand Towers Gravois Trail New Horizons North Star Osage Ozark Trailblazers Pathfinder River Trails Thunderbird,Boone Trails Grand Towers Gravois Trail New Horizons North Star Osage Ozark Trailblazers Pathfinder River Trails Thunderbird,Boone Wanderwege Grand Towers Gravois Trail New Horizons North Star Osage Ozark Pioniere Pfadfinder Flusswanderwege Thunderbird,16,0.739519,16,2.823529,3.523539,0.732557,0.657417,IBM Grand Towers Gravois Trail New Horizons North Star Osage Ozark Trailblazers Pathfinder River Trails Thunderbird,Himalaya Osage Ozark Trailblazers Pathfinder River Trails Thunderbird,0.385706,-0.27171100000000004
6281,"2003 Takesada Matsutani , Atelier RIKA , Kôchi , Japan .","2003 Takesada Matsutani , Atelier RIKA , Kôchi , Japan","2003 Takesada Matsutani , Atelier RIKA , Kôchi , Japan .",11,0.916972,11,3.380288,4.874933,0.928575,0.766519,"this year David, IBM, Paris, Paris.","2003 Takesada Matsutani, IBM, Himalaya, Himalaya",0.531312,-0.23520699999999994
6294,"R. Schilling "" Une victime des vicissitudes politiques , la Diane latine "" in Hommages á Jean Bayet , Collection Latomus 45 Bruxelles 1960 p . 650","R. Schilling "" Une victime des vicissitudes politiques , la Diane latine "" in Hommages á Jean Bayet , Collection Latomus 45 Bruxelles 1960 S. 650 ff .","R. Schilling „ Une victime des vicissitudes politiques , la Diane latine “ in Hommages á Jean Bayet , Collection Latomus 45 Bruxelles 1960 p. 650 ff .",28,0.891029,28,4.294927,4.439228,0.890392,0.717927,"David"" Une victime des vicissitudes politiques , la Diane latine "" in Hommages á Jean Bayet, IBM 45 Bruxelles this year p. three","R. Schilling "" Une victime des vicissitudes politiques, la Diane latine"" in Himalaya, Collection Latomus 45 Himalaya 1960 Himalaya ff.",0.383193,-0.334734
